Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
B4_M_fbcr,4MXB,fbcr,A186-B79,A186,B79,3,"3,4,13",846,1.518,0.5369,0.5369,,0.1619,0.1619,0.02034,0.02034,constant,constant,none,False,,,,0.9986,0.9986,,1.20268,,0.5369,0.00431,0.17346,True
B4_M_fbcr,4MXB,fbcr,A196-B117,A196,B117,3,"3,4,13",508,4.469,-0.1008,-0.1008,,-0.012,-0.012,-0.00382,-0.00382,constant,constant,none,False,,,,0.0835,0.0835,,39.30224,,-0.1008,0.06061,0.00043,True
B4_M_fbcr,4MXB,fbcr,A196-B122,A196,B122,2,"3,4",20,1.3439,-0.2217,-0.2217,,-0.068,-0.068,-0.0084,-0.0084,constant,constant,none,False,,,,0.7168,0.7168,,0.97677,,-0.2217,0.00345,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B123,A196,B123,3,"3,4,13",23,1.3721,-0.0868,-0.0868,,-0.0267,-0.0267,-0.00329,-0.00329,constant,constant,none,False,,,,0.741,0.741,,0.36229,,-0.0868,0.00345,0.00021,True
B4_M_fbcr,4MXB,fbcr,A196-B15,A196,B15,2,"3,4",71,2.5797,-0.3337,-0.3337,,-0.0921,-0.0921,-0.01264,-0.01264,constant,constant,none,False,,,,0.9804,0.9804,,0.13652,,-0.3337,0.01122,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B150,A196,B150,2,"3,4",51,2.2089,-0.1161,-0.1161,,-0.0191,-0.0191,-0.0044,-0.0044,constant,constant,none,False,,,,0.1254,0.1254,,5.4502,,-0.1161,0.00582,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B171,A196,B171,3,"3,4,13",164,3.3501,-0.1843,-0.1843,,-0.0481,-0.0481,-0.00698,-0.00698,constant,constant,none,False,,,,0.758,0.758,,2.88746,,-0.1843,0.02179,0.00043,True
B4_M_fbcr,4MXB,fbcr,A196-B2,A196,B2,2,"3,4",98,2.8543,-0.1866,-0.1866,,-0.0394,-0.0394,-0.00707,-0.00707,constant,constant,none,False,,,,0.4216,0.4216,,3.31784,,-0.1866,0.01294,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B27,A196,B27,2,"3,4",218,3.6713,-0.275,-0.275,,-0.0619,-0.0619,-0.01042,-0.01042,constant,constant,none,False,,,,0.782,0.782,,2.00493,,-0.275,0.03149,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B30,A196,B30,2,"3,4",35,1.8406,-0.1528,-0.1528,,-0.0353,-0.0353,-0.00579,-0.00579,constant,constant,none,False,,,,0.3773,0.3773,,2.08048,,-0.1528,0.00431,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B59,A196,B59,3,"3,4,13",289,3.9107,-0.1156,-0.1156,,-0.0168,-0.0168,-0.00438,-0.00438,constant,constant,none,False,,,,0.1189,0.1189,,20.57235,,-0.1156,0.03494,0.00021,True
B4_M_fbcr,4MXB,fbcr,A196-B6,A196,B6,2,"3,4",3,-0.3061,0.0015,0.0015,,0.0035,0.0035,6e-05,6e-05,constant,constant,none,False,,,,0.0001,0.0001,,1.11994,,0.0015,0.00022,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B75,A196,B75,2,"3,4",6,0.2973,-0.0393,-0.0393,,-0.0064,-0.0064,-0.00149,-0.00149,constant,constant,none,False,,,,0.0266,0.0266,,2.39671,,-0.0393,0.00043,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B8,A196,B8,2,"3,4",14,0.9708,-0.0952,-0.0952,,-0.0219,-0.0219,-0.0036,-0.0036,constant,constant,none,False,,,,0.1921,0.1921,,1.80604,,-0.0952,0.00151,0.0,True
B4_M_fbcr,4MXB,fbcr,A196-B87,A196,B87,3,"3,4,13",620,4.6805,-0.1769,-0.1769,,-0.0415,-0.0415,-0.0067,-0.0067,constant,constant,none,False,,,,0.4925,0.4925,,23.88435,,-0.1769,0.07895,0.00128,True
B4_M_fbcr,4MXB,fbcr,A196-B91,A196,B91,2,"3,4",4,-0.1731,-0.0385,-0.0385,,-0.0121,-0.0121,-0.00146,-0.00146,constant,constant,none,False,,,,0.5161,0.5161,,0.06092,,-0.0385,0.00065,0.0,True
B4_M_fbcr,4MXB,fbcr,A20-B178,A20,B178,2,"3,4",3,-0.4197,-0.0074,-0.0074,,-0.002,-0.002,-0.00028,-0.00028,constant,constant,none,False,,,,0.3453,0.3453,,0.00435,,-0.0074,0.00043,0.0,True
B4_M_fbcr,4MXB,fbcr,A20-B30,A20,B30,2,"3,4",5,0.0015,-0.0424,-0.0424,,-0.0115,-0.0115,-0.00161,-0.00161,constant,constant,none,False,,,,0.4054,0.4054,,0.11552,,-0.0424,0.00065,0.0,True
